id,year,day,lon,lat,tno2,temp,et,sp,tp,wd,ws,pop,building,road,parking,ndvi,NO2
1,2021,1,114.0201883,22.4449437,218.063369750977,283.397125244141,-0.00731571996584535,101672.6875,2.05386768925564E-7,-119.388565063477,3.66874980926514,47.300910949707,3953495.75,4815.68115234375,0,2541,37
3,2021,1,114.1258166,22.4969545,203.389785766602,283.046264648438,-0.0214606449007988,101489.359375,8.55796315590851E-7,-118.250434875488,3.3435263633728,156.301162719727,3624076.25,5897.4716796875,0,3974,39
4,2021,1,114.3581838,22.4712708,109.031944274902,283.406677246094,-0.00890726037323475,101752.4765625,3.56585587724112E-7,-113.377578735352,3.71824216842651,2.12723422050476,199027.984375,417.544128417969,0,-3000,13
5,2021,1,114.2286697,22.309823,219.581695556641,284.052886962891,-0.0383982472121716,101416.640625,7.58807857437205E-7,-118.281959533691,4.18616390228271,571.750061035156,3221332.75,5677.51318359375,41.4476928710938,2184,46
6,2021,1,114.1572091,22.3310969,327.757354736328,283.812103271484,-0.0363482981920242,101250.609375,7.86084228820982E-7,-117.761215209961,3.88826608657837,557.522583007813,10587726,6553.90625,297.494720458984,1627,43
7,2021,1,114.1269531,22.3568159,326.205657958984,283.648468017578,-0.042291022837162,101240.28125,8.55796315590851E-7,-117.528770446777,3.71016430854797,231.99870300293,2478207,5969.11767578125,177.659118652344,2324,50
8,2021,1,114.1120975,22.3716276,294.807037353516,283.568328857422,-0.040474995970726,101274.796875,8.55796315590851E-7,-117.73893737793,3.63369870185852,672.036499023438,5056594,6791.02880859375,166.265670776367,2412,45
9,2021,1,114.256814,22.3182558,132.272354125977,284.070068359375,-0.0444128289818764,101556.8515625,7.02230181559571E-7,-118.038444519043,4.2518138885498,407.302185058594,1751836.5,4787.18798828125,0,5726,27
10,2021,1,113.9742504,22.3911527,274.126007080078,283.667694091797,-0.0304270014166832,101809.5,4.65813542405158E-7,-119.382736206055,3.90461730957031,297.499664306641,2375346.5,5116.1513671875,0,2806,39
11,2021,1,114.1820905,22.3764958,206.602310180664,283.648132324219,-0.0341710150241852,101230.859375,8.55796315590851E-7,-116.992080688477,3.75275540351868,146.51953125,3542057.5,5773.041015625,92.1150817871094,1767,37
12,2021,1,114.16871,22.322169,328.312408447266,283.873565673828,-0.0349860265851021,101264.3671875,7.81269989147404E-7,-117.955047607422,3.95503377914429,747.296691894531,14594804,7989.83642578125,308.045318603516,1948,66
13,2021,1,114.1412676,22.2848775,321.599334716797,283.926330566406,-0.0248023793101311,101341,5.31304976902902E-7,-118.602310180664,4.01024532318115,878.608520507813,9484429,7007.2744140625,567.064819335938,5221,38
14,2021,1,114.1573973,22.2475352,300.955780029297,284.120880126953,-0.0210690181702375,101413.71875,4.79777668260795E-7,-119.532341003418,4.21354913711548,65.4896621704102,3044803.5,3876.92065429688,260.136474609375,1145,33
15,2021,1,114.2167934,22.2827772,245.776870727539,284.146575927734,-0.0345767661929131,101401.0703125,7.59521924464934E-7,-119.067543029785,4.25519037246704,1421.89978027344,2995995.75,4814.8349609375,6.94431924819946,3439,36
16,2021,1,113.9405757,22.2885187,311.134033203125,284.065795898438,-0.0168579388409853,101695.78125,4.46203387127753E-7,-118.996688842773,4.22437715530396,45.6981201171875,965836.125,4032.33203125,0,989,30
17,2021,1,114.1805181,22.2801689,323.278991699219,284.091735839844,-0.0323599874973297,101356.734375,7.40974485324841E-7,-119.114418029785,4.18009662628174,429.867279052734,7206084,6894.8623046875,257.443572998047,575,81
18,2021,1,114.1565745,22.2820584,334.339477539063,283.993865966797,-0.0272016357630491,101349.390625,6.02383352088509E-7,-118.81852722168,4.08007860183716,83.5950317382813,8509086,8754.4130859375,506.304748535156,2940,80
1,2021,2,114.0201883,22.4449437,355.426452636719,285.971954345703,-0.00652317702770233,101455.7109375,0,-156.01774597168,3.14218902587891,47.300910949707,3953495.75,4815.68115234375,0,2541,59
3,2021,2,114.1258166,22.4969545,171.798309326172,285.587585449219,-0.0210689101368189,101276.3203125,0,-157.698684692383,2.86055183410645,156.301162719727,3624076.25,5897.4716796875,0,3974,45
4,2021,2,114.3581838,22.4712708,98.3363494873047,285.914855957031,-0.00914159417152405,101543.3671875,0,-155.461685180664,3.76144766807556,2.12723422050476,199027.984375,417.544128417969,0,-3000,13
5,2021,2,114.2286697,22.309823,123.326995849609,286.574432373047,-0.0318323150277138,101210.4140625,2.57155170402257E-6,-151.940216064453,4.63031435012817,571.750061035156,3221332.75,5677.51318359375,41.4476928710938,2184,51
6,2021,2,114.1572091,22.3310969,279.699584960938,286.375061035156,-0.0316838547587395,101044.59375,9.8861039532494E-7,-152.496459960938,4.066969871521,557.522583007813,10587726,6553.90625,297.494720458984,1627,52
7,2021,2,114.1269531,22.3568159,313.775024414063,286.243774414063,-0.0369372479617596,101033.328125,0,-153.034606933594,3.72134733200073,231.99870300293,2478207,5969.11767578125,177.659118652344,2324,46
8,2021,2,114.1120975,22.3716276,304.545288085938,286.171752929688,-0.035435326397419,101066.6875,0,-153.556640625,3.55189847946167,672.036499023438,5056594,6791.02880859375,166.265670776367,2412,50
9,2021,2,114.256814,22.3182558,93.7803573608398,286.587280273438,-0.0361392498016357,101349.765625,1.23096003790124E-6,-151.958282470703,4.7531566619873,407.302185058594,1751836.5,4787.18798828125,0,5726,24
11,2021,2,114.1820905,22.3764958,184.146133422852,286.174926757813,-0.0315405204892159,101024.9453125,0,-153.503295898438,3.82014584541321,146.51953125,3542057.5,5773.041015625,92.1150817871094,1767,50
